{timestamp=2024-01-24T15:00:58.471Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=45m31s557ms)., context=default}
{timestamp=2024-01-24T15:14:11.863Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=55m52s723ms)., context=default}
{timestamp=2024-01-24T16:02:07.210Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h1m8s738ms)., context=default}
{timestamp=2024-01-24T16:37:03.105Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h22m51s242ms)., context=default}
{timestamp=2024-01-24T17:29:10.466Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h27m3s257ms)., context=default}
{timestamp=2024-01-24T18:19:19.126Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h42m16s21ms)., context=default}
{timestamp=2024-01-24T19:08:21.406Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h39m10s940ms)., context=default}
{timestamp=2024-01-24T19:36:57.136Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h17m38s11ms)., context=default}
{timestamp=2024-01-24T20:37:08.662Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h28m47s256ms)., context=default}
{timestamp=2024-01-24T21:22:29.291Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h45m32s153ms)., context=default}
{timestamp=2024-01-24T21:48:55.526Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h11m46s864ms)., context=default}
{timestamp=2024-01-24T22:23:33.723Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h1m4s434ms)., context=default}
{timestamp=2024-01-24T22:42:55.038Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=53m59s512ms)., context=default}
{timestamp=2024-01-24T22:43:52.593Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=20m18s870ms)., context=default}
{timestamp=2024-01-24T22:44:32.845Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m37s808ms)., context=default}
{timestamp=2024-01-24T22:52:02.237Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=8m9s643ms)., context=default}
{timestamp=2024-01-24T23:24:36.962Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=40m4s116ms)., context=default}
{timestamp=2024-01-25T00:25:32.114Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h33m29s877ms)., context=default}
{timestamp=2024-01-25T00:58:36.525Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h33m59s563ms)., context=default}
{timestamp=2024-01-25T01:33:31.709Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h7m59s593ms)., context=default}
{timestamp=2024-01-25T01:35:39.898Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=37m3s373ms)., context=default}
{timestamp=2024-01-25T01:35:53.635Z, level=WARN, thread=HikariPool-2 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=2m21s929ms)., context=default}
